raceId,raceName,laps,circuitName,location,country
1,Bahrain Grand Prix,57,Bahrain International Circuit,Sakhir,Bahrain
2,Saudi Arabian Grand Prix,50,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
3,Australian Grand Prix,58,Albert Park Circuit,Melbourne,Australia
4,Japanese Grand Prix,53,Suzuka International Racing Course,Suzuka,Japan
5,Chinese Grand Prix,56,Shanghai International Circuit,Shanghai,China
6,Miami Grand Prix,57,Miami International Autodrome,Miami,USA
7,Emilia Romagna Grand Prix,63,Autodromo Internazionale Enzo e Dino Ferrari,Imola,Italy
8,Monaco Grand Prix,78,Circuit de Monaco,Monte-Carlo,Monaco
9,Canadian Grand Prix,70,Circuit Gilles Villeneuve,Montreal,Canada
10,Spanish Grand Prix,66,Circuit de Barcelona-Catalunya,Montemelo,Spain
11,Austrian Grand Prix,71,Red Bull Ring Spielberg,Styria,Austria
12,British Grand Prix,52,Silverstone Circuit,Silverstone,UK
13,Hungarian Grand Prix,70,Hungaroring,Budapest,Hungary
14,Belgian Grand Prix,44,Circuit de Spa-Francorchamps,Spa,Belgium
15,Dutch Grand Prix,72,Circuit Zandvoort,Zandvoort,Netherlands
16,Italian Grand Prix,53,Monza Circuit,Monza,Italy
17,Azerbaijan Grand Prix,51,Baku City Circuit,Baku,Azerbaijan
18,Singapore Grand Prix,62,Marina Bay Street Circuit,Marina Bay,Singapore
19,United States Grand Prix,56,Circuit of the Americas,Austin,USA
20,Mexico City Grand Prix,71,Autódromo Hermanos Rodríguez,Mexico City,Mexico
21,São Paulo Grand Prix,69,Autódromo José Carlos Pace,São Paulo,Brazil
22,Las Vegas Grand Prix,50,Las Vegas Strip Circuit,Nevada,USA
23,Qatar Grand Prix,57,Lusail International Circuit,Lusail,Qatar
24,Abu Dhabi Grand Prix,58,Yas Marina Circuit,Abu Dhabi,UAE
