resultId,raceId,teamId,driverId,grid,positionText,points,year,round
1,1,9,1,1,1,25,2023,1
2,1,9,11,2,2,18,2023,1
3,1,4,14,5,3,15,2023,1
4,1,5,55,4,4,12,2023,1
5,1,8,44,7,5,10,2023,1
6,1,4,18,8,6,8,2023,1
7,1,8,63,6,7,6,2023,1
8,1,1,77,12,8,4,2023,1
9,1,3,10,20,9,2,2023,1
10,1,10,23,15,10,1,2023,1
11,1,2,22,14,11,0,2023,1
12,1,10,2,16,12,0,2023,1
13,1,6,20,17,13,0,2023,1
14,1,2,21,19,14,0,2023,1
15,1,6,27,10,15,0,2023,1
16,1,1,24,13,16,0,2023,1
17,1,7,4,11,17,0,2023,1
18,1,3,31,9,Ret,0,2023,1
19,1,5,16,3,Ret,0,2023,1
20,1,7,81,18,Ret,0,2023,1
21,2,9,11,1,1,25,2023,2
22,2,9,1,15,2,19,2023,2
23,2,4,14,2,3,15,2023,2
24,2,8,63,3,4,12,2023,2
25,2,8,44,7,5,10,2023,2
26,2,5,55,4,6,8,2023,2
27,2,5,16,12,7,6,2023,2
28,2,3,31,6,8,4,2023,2
29,2,3,10,9,9,2,2023,2
30,2,6,20,13,10,1,2023,2
31,2,2,22,16,11,0,2023,2
32,2,6,27,10,12,0,2023,2
33,2,1,24,11,13,0,2023,2
34,2,2,21,18,14,0,2023,2
35,2,7,81,8,15,0,2023,2
36,2,10,2,20,16,0,2023,2
37,2,7,4,19,17,0,2023,2
38,2,1,77,14,18,0,2023,2
39,2,10,23,17,Ret,0,2023,2
40,2,4,18,5,Ret,0,2023,2
41,3,9,1,1,1,25,2023,3
42,3,8,44,3,2,18,2023,3
43,3,4,14,4,3,15,2023,3
44,3,4,18,6,4,12,2023,3
45,3,9,11,PL,5,11,2023,3
46,3,7,4,13,6,8,2023,3
47,3,6,27,10,7,6,2023,3
48,3,7,81,16,8,4,2023,3
49,3,1,24,17,9,2,2023,3
50,3,2,22,12,10,1,2023,3
51,3,1,77,PL,11,0,2023,3
52,3,5,55,5,12,0,2023,3
53,3,3,10,9,13,0,2023,3
54,3,3,31,11,14,0,2023,3
55,3,2,21,15,15,0,2023,3
56,3,10,2,18,16,0,2023,3
57,3,6,20,14,17,0,2023,3
58,3,8,63,2,Ret,0,2023,3
59,3,10,23,8,Ret,0,2023,3
60,3,5,16,7,Ret,0,2023,3
61,17,9,11,3,1,25,2023,4
62,17,9,1,2,2,18,2023,4
63,17,5,16,1,3,15,2023,4
64,17,4,14,6,4,12,2023,4
65,17,5,55,4,5,10,2023,4
66,17,8,44,5,6,8,2023,4
67,17,4,18,9,7,6,2023,4
68,17,8,63,11,8,5,2023,4
69,17,7,4,7,9,2,2023,4
70,17,2,22,8,10,1,2023,4
71,17,7,81,10,11,0,2023,4
72,17,10,23,12,12,0,2023,4
73,17,6,20,16,13,0,2023,4
74,17,3,10,17,14,0,2023,4
75,17,3,31,PL,15,0,2023,4
76,17,10,2,14,16,0,2023,4
77,17,6,27,PL,17,0,2023,4
78,17,1,77,13,18,0,2023,4
79,17,1,24,15,Ret,0,2023,4
80,17,2,21,18,Ret,0,2023,4
81,6,9,1,9,1,26,2023,5
82,6,9,11,1,2,18,2023,5
83,6,4,14,2,3,15,2023,5
84,6,8,63,6,4,12,2023,5
85,6,5,55,3,5,10,2023,5
86,6,8,44,13,6,8,2023,5
87,6,5,16,7,7,6,2023,5
88,6,3,10,5,8,4,2023,5
89,6,3,31,8,9,2,2023,5
90,6,6,20,4,10,1,2023,5
91,6,2,22,17,11,0,2023,5
92,6,4,18,18,12,0,2023,5
93,6,1,77,10,13,0,2023,5
94,6,10,23,11,14,0,2023,5
95,6,6,27,12,15,0,2023,5
96,6,1,24,14,16,0,2023,5
97,6,7,4,16,17,0,2023,5
98,6,2,21,15,18,0,2023,5
99,6,7,81,19,19,0,2023,5
100,6,10,2,20,20,0,2023,5
101,8,9,1,1,1,25,2023,6
102,8,4,14,2,2,18,2023,6
103,8,3,31,3,3,15,2023,6
104,8,8,44,5,4,13,2023,6
105,8,8,63,8,5,10,2023,6
106,8,5,16,6,6,8,2023,6
107,8,3,10,7,7,6,2023,6
108,8,5,55,4,8,4,2023,6
109,8,7,4,10,9,2,2023,6
110,8,7,81,11,10,1,2023,6
111,8,1,77,15,11,0,2023,6
112,8,2,21,12,12,0,2023,6
113,8,1,24,19,13,0,2023,6
114,8,10,23,13,14,0,2023,6
115,8,2,22,9,15,0,2023,6
116,8,9,11,20,16,0,2023,6
117,8,6,27,18,17,0,2023,6
118,8,10,2,16,18,0,2023,6
